No.,Symbol,Company Name,Market Cap,Stock Price,Revenue,Rev. Growth,Net Income,Sector,Industry,Net Cash,FCF,Volume
371,EGP,"EastGroup Properties, Inc.",8.88B,166.73,676.89M,11.85%,236.54M,Real Estate,REIT - Industrial,-1.45B,-,"56,185"
372,BMI,"Badger Meter, Inc.",5.23B,177.6,873.93M,11.82%,135.74M,Technology,Scientific & Technical Instruments,165.21M,160.06M,"58,850"
373,AR,Antero Resources Corporation,9.90B,32.04,4.87B,11.79%,478.86M,Energy,Oil & Gas Exploration & Production,-3.49B,677.78M,"2,313,948"
374,BTG,B2Gold Corp.,5.81B,4.315,2.17B,11.75%,-433.63M,Materials,Gold,-132.58M,-330.53M,"20,690,065"
375,GATX,GATX Corporation,6.01B,168.6,1.67B,11.74%,314.20M,Industrials,Rental & Leasing Services,-8.26B,-732.40M,"48,171"
376,RLI,RLI Corp.,5.97B,64.98,1.82B,11.69%,323.44M,Financials,Insurance - Property & Casualty,-92.81M,622.45M,"125,888"
377,GBCI,"Glacier Bancorp, Inc.",5.62B,47.43,855.05M,11.62%,220.16M,Financials,Banks - Regional,-2.60B,355.33M,"93,660"
378,PRK,Park National Corporation,2.64B,164.03,530.59M,11.59%,167.12M,Financials,Banks - Regional,-109.98M,173.95M,"8,640"
379,CNS,"Cohen & Steers, Inc.",3.50B,68.65,543.58M,11.54%,162.12M,Financials,Asset Management,88.56M,-122.43M,"43,033"
380,VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",2.20B,26.73,263.06M,11.49%,31.81M,Real Estate,Real Estate - Development,-835.64M,-,"16,078"
381,BWIN,"The Baldwin Insurance Group, Inc.",3.64B,30.71,1.46B,11.44%,-17.76M,Financials,Insurance Brokers,-1.59B,-43.01M,"152,884"
382,TENB,"Tenable Holdings, Inc.",3.58B,29.54,949.25M,11.41%,-44.98M,Technology,Software - Infrastructure,-32.66M,251.64M,"242,000"
383,HRI,Herc Holdings Inc.,4.28B,128.88,3.78B,11.41%,23.00M,Industrials,Rental & Leasing Services,-9.83B,254.00M,"119,712"
384,NICE,NICE Ltd.,8.73B,143.56,2.84B,11.39%,537.12M,Technology,Software - Application,1.09B,728.64M,"164,836"
385,BIPC,Brookfield Infrastructure Corporation,4.78B,40.18,3.65B,11.38%,-1.22B,Utilities,Utilities - Regulated Gas,-12.00B,504.00M,"88,452"
386,UCB,"United Community Banks, Inc.",3.78B,31.1,922.99M,11.36%,265.39M,Financials,Banks - Regional,398.76M,319.39M,"86,629"
387,OSIS,"OSI Systems, Inc.",3.95B,234.92,1.71B,11.33%,149.64M,Technology,Electronic Components,-575.92M,73.76M,"23,307"
388,PL,Planet Labs PBC,3.01B,9.78,262.47M,11.33%,-90.46M,Industrials,Aerospace & Defense,254.00M,35.26M,"2,649,760"
389,RDNT,"RadNet, Inc.",5.72B,74.39,1.91B,11.33%,-14.92M,Healthcare,Diagnostics & Research,-1.01B,76.01M,"260,629"
390,SYBT,"Stock Yards Bancorp, Inc.",2.20B,74.63,364.55M,11.32%,128.35M,Financials,Banks - Regional,-40.87M,140.88M,"19,097"
391,CNXC,Concentrix Corporation,3.41B,54.1,9.63B,11.31%,234.25M,Technology,Information Technology Services,-5.47B,484.94M,"222,544"
392,ACIW,"ACI Worldwide, Inc.",5.04B,48.85,1.70B,11.22%,251.05M,Technology,Software - Infrastructure,-766.09M,293.73M,"175,751"
393,TBBK,"The Bancorp, Inc.",3.48B,75.57,515.89M,11.18%,224.42M,Financials,Banks - Regional,-112.05M,350.52M,"141,303"
394,WRD,WeRide Inc.,2.96B,10.42,57.30M,11.15%,-338.73M,Technology,Software - Application,784.19M,-,"3,760,005"
395,TEO,Telecom Argentina S.A.,3.10B,7.17,4.34B,11.12%,-217.17M,Communication Services,Telecom Services,-3.66B,356.19M,"78,081"
396,TOWN,TowneBank,2.61B,35.11,741.83M,11.04%,173.64M,Financials,Banks - Regional,-71.98M,101.00M,"41,466"
397,CNM,"Core & Main, Inc.",9.72B,49.33,7.74B,11.02%,431.00M,Industrials,Industrial Distribution,-2.51B,564.00M,"1,574,115"
398,LION,Lionsgate Studios Corp.,2.07B,7.15,3.99B,10.90%,-406.50M,Financials,Shell Companies,-3.93B,-103.60M,"550,006"
399,CIG,Companhia Energética de Minas Gerais - CEMIG,6.65B,2.085,7.70B,10.77%,1.19B,Utilities,Utilities - Diversified,-2.33B,794.14M,"1,342,125"
400,CIG.C,Companhia Energética de Minas Gerais - CEMIG,6.65B,2.76,7.70B,10.77%,1.19B,Utilities,Utilities - Diversified,-2.33B,793.52M,693
401,PIPR,Piper Sandler Companies,6.09B,343.97,1.60B,10.68%,210.95M,Financials,Capital Markets,495.24M,32.68M,"60,290"
402,HLNE,Hamilton Lane Incorporated,8.18B,145.61,692.19M,10.66%,212.20M,Financials,Asset Management,-113.97M,338.02M,"67,981"
403,SKT,Tanger Inc.,3.96B,33.63,561.02M,10.60%,99.74M,Real Estate,REIT - Retail,-1.60B,-,"206,395"
404,WAL,Western Alliance Bancorporation,9.43B,86.5,3.12B,10.46%,833.40M,Financials,Banks - Regional,-3.71B,-3.79B,"429,737"
405,BANF,BancFirst Corporation,4.37B,131.08,656.15M,10.44%,233.84M,Financials,Banks - Regional,3.91B,204.37M,"57,023"
406,BRKR,Bruker Corporation,5.04B,33.2,3.44B,10.36%,79.60M,Healthcare,Medical Devices,-2.38B,49.30M,"1,550,249"
407,PECO,"Phillips Edison & Company, Inc.",4.91B,35.47,694.64M,10.31%,68.84M,Real Estate,REIT - Retail,-2.39B,-,"139,389"
408,GDS,GDS Holdings Limited,7.42B,37.02,1.53B,10.29%,643.65M,Technology,Information Technology Services,-4.84B,-72.62M,"966,927"
409,CXT,"Crane NXT, Co.",3.41B,59.47,1.54B,10.28%,151.30M,Industrials,Specialty Industrial Machinery,-989.90M,147.40M,"124,309"
410,TXNM,"TXNM Energy, Inc.",5.98B,56.79,2.03B,10.23%,177.41M,Utilities,Utilities - Regulated Electric,-5.81B,-790.59M,"235,231"
411,SBRA,"Sabra Health Care REIT, Inc.",4.58B,19.11,734.01M,10.21%,182.33M,Real Estate,REIT - Healthcare Facilities,-2.39B,-,"520,036"
412,MWA,"Mueller Water Products, Inc.",3.96B,25.31,1.40B,10.19%,149.10M,Industrials,Specialty Industrial Machinery,-107.10M,172.90M,"189,562"
413,CGNX,Cognex Corporation,7.38B,43.94,929.56M,10.14%,122.05M,Technology,Scientific & Technical Instruments,145.02M,179.64M,"497,364"
414,OLLI,"Ollie's Bargain Outlet Holdings, Inc.",8.16B,133.16,2.44B,10.14%,213.31M,Consumer Staples,Discount Stores,-348.52M,144.25M,"198,885"
415,MMSI,"Merit Medical Systems, Inc.",4.91B,82.98,1.43B,10.11%,119.12M,Healthcare,Medical Instruments & Supplies,-478.73M,192.31M,"146,589"
416,LAD,"Lithia Motors, Inc.",8.41B,328.19,37.16B,10.11%,890.90M,Consumer Discretionary,Auto & Truck Dealerships,-14.09B,322.00M,"30,385"
417,JOE,The St. Joe Company,3.01B,52.04,426.62M,10.09%,82.74M,Real Estate,Real Estate - Diversified,-521.58M,111.09M,"21,144"
418,FLY,Firefly Aerospace Inc.,6.32B,44.03,108.33M,10.06%,-280.10M,Industrials,Aerospace & Defense,9.73M,-184.45M,"268,408"
419,AHR,"American Healthcare REIT, Inc.",7.26B,42.58,2.14B,10.05%,-32.80M,Real Estate,REIT - Healthcare Facilities,-1.58B,-,"403,731"
420,LAZ,"Lazard, Inc.",5.07B,53.78,3.06B,10.05%,302.52M,Financials,Capital Markets,-1.63B,430.78M,"215,694"
421,APAM,Artisan Partners Asset Management Inc.,3.65B,45.18,1.14B,10.03%,246.96M,Financials,Asset Management,16.43M,357.48M,"84,859"
422,NMIH,"NMI Holdings, Inc.",3.00B,38.63,679.62M,9.99%,377.69M,Financials,Insurance - Specialty,-341.48M,387.52M,"18,521"
423,ABCB,Ameris Bancorp,5.00B,73.23,1.12B,9.90%,391.36M,Financials,Banks - Regional,658.96M,393.80M,"166,419"
424,EE,"Excelerate Energy, Inc.",2.70B,23.7,987.64M,9.86%,36.00M,Energy,Oil & Gas Midstream,-1.06B,178.95M,"57,765"
425,GRP.U,Granite Real Estate Investment Trust,3.39B,55.92,434.83M,9.82%,245.04M,-,Other,-2.37B,-,749
426,AMRX,"Amneal Pharmaceuticals, Inc.",3.09B,9.84,2.85B,9.81%,3.38M,Healthcare,Drug Manufacturers - Specialty & Generic,-2.51B,270.88M,"752,811"
427,OMF,"OneMain Holdings, Inc.",7.18B,60.4,2.76B,9.79%,664.00M,Financials,Credit Services,-21.28B,-,"229,476"
428,ACA,"Arcosa, Inc.",4.59B,93.57,2.68B,9.78%,92.00M,Industrials,Engineering & Construction,-1.55B,294.20M,"29,084"
429,QFIN,"Qfin Holdings, Inc.",3.80B,28.67,2.62B,9.77%,1.01B,Financials,Credit Services,466.89M,1.50B,"342,034"
430,ASAN,"Asana, Inc.",3.17B,13.44,756.42M,9.74%,-208.00M,Technology,Software - Application,217.60M,42.75M,"987,531"
431,EPAM,"EPAM Systems, Inc.",8.59B,154.16,5.07B,9.73%,401.15M,Technology,Information Technology Services,878.65M,409.73M,"213,790"
432,HCI,"HCI Group, Inc.",2.31B,178.24,775.55M,9.67%,137.55M,Financials,Insurance - Property & Casualty,890.49M,481.57M,"26,412"
433,ITGR,Integer Holdings Corporation,3.56B,101.49,1.79B,9.64%,82.66M,Healthcare,Medical Devices,-1.30B,120.55M,"198,109"
434,SXI,Standex International Corporation,2.51B,207.97,790.11M,9.64%,55.76M,Industrials,Specialty Industrial Machinery,-499.16M,41.25M,"24,154"
435,QLYS,"Qualys, Inc.",4.80B,132.88,637.02M,9.63%,185.00M,Technology,Software - Infrastructure,565.86M,239.50M,"52,305"
436,URBN,"Urban Outfitters, Inc.",6.23B,69.4,5.83B,9.63%,475.42M,Consumer Discretionary,Apparel Retail,-211.34M,398.79M,"467,840"
437,CCCS,CCC Intelligent Solutions Holdings Inc.,6.22B,9.55,996.96M,9.60%,1.92M,Technology,Software - Application,-1.05B,226.09M,"1,239,842"
438,RH,RH,4.19B,223.33,3.34B,9.56%,106.83M,Consumer Discretionary,Specialty Retail,-3.88B,-50.91M,"212,948"
439,FAF,First American Financial Corporation,6.74B,66.22,6.51B,9.54%,188.70M,Financials,Insurance - Specialty,-622.10M,666.50M,"156,449"
440,ONB,Old National Bancorp,8.52B,21.73,1.89B,9.52%,551.61M,Financials,Banks - Regional,-5.89B,511.14M,"493,706"
441,HWKN,"Hawkins, Inc.",3.59B,171.92,1.01B,9.51%,84.64M,Materials,Specialty Chemicals,-294.16M,81.01M,"18,901"
442,EFSC,Enterprise Financial Services Corp,2.20B,59.51,637.58M,9.46%,197.01M,Financials,Banks - Regional,-166.19M,232.86M,"51,732"
443,ANF,Abercrombie & Fitch Co.,4.04B,85.76,5.10B,9.34%,541.00M,Consumer Discretionary,Apparel Retail,-495.96M,344.95M,"727,501"
444,GRFS,"Grifols, S.A.",8.51B,9.95,8.74B,9.33%,349.32M,Healthcare,Drug Manufacturers - General,-10.64B,982.46M,"313,224"
445,BFAM,Bright Horizons Family Solutions Inc.,6.21B,109.11,2.79B,9.25%,176.85M,Consumer Discretionary,Personal Services,-1.57B,242.75M,"286,021"
446,HURN,Huron Consulting Group Inc.,2.25B,140.48,1.56B,9.24%,105.10M,Industrials,Consulting Services,-636.27M,189.16M,"13,107"
447,PSN,Parsons Corporation,7.97B,74.62,6.68B,9.22%,247.56M,Technology,Information Technology Services,-1.07B,520.39M,"214,373"
448,MRCY,"Mercury Systems, Inc.",4.45B,74.11,912.02M,9.19%,-37.90M,Industrials,Aerospace & Defense,-352.34M,119.05M,"257,637"
449,IVT,InvenTrust Properties Corp.,2.29B,29.54,287.08M,9.17%,111.99M,Real Estate,REIT - Retail,-446.36M,-,"51,467"
450,PB,"Prosperity Bancshares, Inc.",6.16B,64.8,1.23B,9.17%,522.74M,Financials,Banks - Regional,-1.81B,322.41M,"250,699"
451,FSS,Federal Signal Corporation,7.58B,124.65,1.97B,9.09%,221.60M,Industrials,Pollution & Treatment Controls,-231.60M,226.50M,"58,545"
452,HESM,Hess Midstream LP,8.29B,39.47,1.57B,9.02%,290.90M,Energy,Oil & Gas Midstream,-3.71B,666.40M,"230,638"
453,CAE,CAE Inc.,8.55B,26.94,3.47B,9.00%,303.70M,Industrials,Aerospace & Defense,-2.37B,380.09M,"115,076"
454,OBDC,Blue Owl Capital Corporation,6.98B,13.66,1.75B,8.98%,670.38M,Financials,Asset Management,-8.93B,-,"1,898,591"
455,LPL,"LG Display Co., Ltd.",4.80B,4.925,19.44B,8.96%,-494.94M,Technology,Consumer Electronics,-8.76B,564.08M,"521,098"
456,GTLS,"Chart Industries, Inc.",8.97B,199.48,4.25B,8.95%,247.00M,Industrials,Specialty Industrial Machinery,-3.43B,477.30M,"386,374"
457,SMA,"SmartStop Self Storage REIT, Inc.",2.26B,38.33,243.40M,8.93%,-27.19M,Real Estate,REIT - Industrial,-912.29M,-,"184,392"
458,SPXC,"SPX Technologies, Inc.",9.14B,185,2.05B,8.90%,210.70M,Industrials,Building Products & Equipment,-885.00M,218.60M,"28,522"
459,BLCO,Bausch + Lomb Corporation,5.34B,15.09,4.89B,8.81%,-273.00M,Healthcare,Medical Instruments & Supplies,-4.69B,-165.00M,"191,969"
460,FR,"First Industrial Realty Trust, Inc.",7.07B,51.8,700.53M,8.80%,270.87M,Real Estate,REIT - Industrial,-2.37B,-,"173,897"
461,VAC,Marriott Vacations Worldwide Corporation,2.66B,76.96,3.38B,8.79%,259.00M,Consumer Discretionary,Resorts & Casinos,-5.27B,69.00M,"86,610"
462,MGRC,McGrath RentCorp,3.01B,122.48,941.54M,8.78%,252.44M,Industrials,Rental & Leasing Services,-571.06M,288.92M,"19,579"
463,HAYW,"Hayward Holdings, Inc.",3.37B,15.54,1.08B,8.77%,130.37M,Industrials,Electrical Equipment & Parts,-658.08M,163.56M,"419,689"
464,MATX,"Matson, Inc.",3.32B,104.34,3.46B,8.75%,494.10M,Industrials,Marine Shipping,-606.20M,256.60M,"54,419"
465,RGEN,Repligen Corporation,6.58B,117,673.96M,8.73%,-13.83M,Healthcare,Medical Instruments & Supplies,22.79M,108.92M,"450,633"
466,EEFT,"Euronet Worldwide, Inc.",3.55B,89.4,4.14B,8.71%,332.70M,Technology,Software - Infrastructure,-326.20M,587.40M,"222,735"
467,GLOB,Globant S.A.,2.46B,55.79,2.48B,8.66%,110.27M,Technology,Information Technology Services,-362.41M,-,"406,562"
468,FTDR,"Frontdoor, Inc.",4.72B,64.76,1.97B,8.62%,257.00M,Consumer Discretionary,Personal Services,-663.00M,303.00M,"110,108"
469,MGEE,"MGE Energy, Inc.",3.07B,83.91,701.32M,8.61%,131.05M,Utilities,Utilities - Regulated Electric,-761.56M,44.25M,"16,992"
470,TTEK,"Tetra Tech, Inc.",9.53B,36.25,4.60B,8.59%,216.13M,Industrials,Engineering & Construction,-828.80M,442.23M,"432,972"
471,UE,Urban Edge Properties,2.72B,20.52,461.04M,8.59%,105.30M,Real Estate,REIT - Retail,-1.61B,-,"255,429"
472,FORTY,Formula Systems (1985) Ltd.,2.13B,136.71,2.89B,8.58%,78.04M,Technology,Information Technology Services,-277.71M,-,100
473,STAG,"STAG Industrial, Inc.",6.73B,35.76,803.23M,8.56%,234.04M,Real Estate,REIT - Industrial,-3.04B,-,"154,260"
474,AWR,American States Water Company,2.78B,72.21,615.96M,8.55%,124.33M,Utilities,Utilities - Regulated Water,-930.26M,-3.29M,"44,343"
475,POR,Portland General Electric Company,4.62B,42.19,3.49B,8.53%,294.00M,Utilities,Utilities - Regulated Electric,-5.32B,-260.00M,"278,514"
476,OSW,OneSpaWorld Holdings Limited,2.24B,21.84,919.26M,8.51%,71.15M,Consumer Discretionary,Leisure,-74.19M,66.71M,"326,577"
477,AEIS,"Advanced Energy Industries, Inc.",5.86B,155.58,1.64B,8.50%,83.91M,Industrials,Electrical Equipment & Parts,26.20M,123.46M,"82,471"
478,ELP,Companhia Paranaense de Energia - COPEL,6.83B,9.6,4.38B,8.47%,558.62M,Utilities,Utilities - Regulated Electric,-3.18B,586.50M,"72,370"
479,ELPC,Companhia Paranaense de Energia - COPEL,6.83B,8.83,4.38B,8.47%,558.62M,Utilities,Utilities - Regulated Electric,-3.18B,585.91M,-
480,ABG,"Asbury Automotive Group, Inc.",4.71B,239.75,17.26B,8.40%,540.00M,Consumer Discretionary,Auto & Truck Dealerships,-4.48B,808.20M,"17,872"
481,AMBP,Ardagh Metal Packaging S.A.,2.14B,3.575,5.23B,8.39%,-17.00M,Consumer Discretionary,Packaging & Containers,-3.81B,305.00M,"227,603"
482,VIAV,Viavi Solutions Inc.,2.71B,12.15,1.08B,8.39%,34.80M,Technology,Communication Equipment,-267.20M,62.00M,"828,716"
483,CBU,"Community Financial System, Inc.",3.02B,57.17,756.01M,8.37%,193.74M,Financials,Banks - Regional,-656.93M,198.80M,"47,338"
484,DJT,Trump Media & Technology Group Corp.,4.80B,17.34,3.72M,8.33%,-108.61M,Communication Services,Internet Content & Information,1.14B,-41.11M,"2,569,888"
485,HBM,Hudbay Minerals Inc.,5.48B,13.65,2.20B,8.31%,289.00M,Materials,Copper,-590.70M,362.80M,"1,767,056"
486,FORM,"FormFactor, Inc.",2.41B,31.21,764.55M,8.30%,43.93M,Technology,Semiconductor Equipment & Materials,213.41M,3.63M,"164,314"
487,LEVI,Levi Strauss & Co.,8.85B,22.36,6.49B,8.29%,405.30M,Consumer Discretionary,Apparel Manufacturing,-1.51B,365.80M,"536,786"
488,PATH,UiPath Inc.,6.15B,11.59,1.50B,8.25%,20.17M,Technology,Software - Infrastructure,1.44B,309.64M,"2,109,669"
489,HWC,Hancock Whitney Corporation,5.29B,62.43,1.41B,8.24%,468.24M,Financials,Banks - Regional,-313.63M,569.60M,"328,682"
490,LIVN,LivaNova PLC,3.00B,55.01,1.31B,8.23%,-211.32M,Healthcare,Medical Devices,110.86M,162.10M,"107,002"
491,USAC,"USA Compression Partners, LP",2.97B,24.2,981.22M,8.22%,78.72M,Energy,Oil & Gas Equipment & Services,-2.52B,258.33M,"66,559"
492,CHDN,Churchill Downs Incorporated,6.70B,95.58,2.83B,8.20%,429.90M,Consumer Discretionary,Gambling,-4.91B,366.30M,"105,169"
493,OII,"Oceaneering International, Inc.",2.44B,24.38,2.77B,8.14%,202.16M,Energy,Oil & Gas Equipment & Services,-363.09M,101.66M,"82,459"
494,WAFD,"WaFd, Inc.",2.41B,30.56,721.13M,8.14%,211.99M,Financials,Banks - Regional,-1.09B,252.06M,"100,989"
495,MAIN,Main Street Capital Corporation,5.81B,65,558.29M,8.13%,536.86M,Financials,Asset Management,-2.14B,-,"220,613"
496,IAC,IAC Inc.,2.90B,36.21,3.71B,8.11%,-463.33M,Communication Services,Internet Content & Information,-341.18M,131.74M,"217,135"
497,AVDX,"AvidXchange Holdings, Inc.",2.06B,9.94,446.72M,8.04%,-8.06M,Technology,Software - Infrastructure,332.44M,81.33M,"220,509"
498,BPOP,"Popular, Inc.",8.27B,122.44,2.80B,8.02%,719.67M,Financials,Banks - Regional,5.25B,633.51M,"163,078"
499,BL,"BlackLine, Inc.",3.36B,54.37,674.33M,8.00%,88.00M,Technology,Software - Application,-64.00M,170.73M,"92,311"
500,CSAN,Cosan S.A.,2.65B,5.75,7.99B,7.98%,-2.15B,Energy,Oil & Gas Refining & Marketing,-9.21B,712.60M,"697,813"
